Word,Meaning
affect,"v.假装,倾向,喜欢,影响"
modest,"adj.适中的,适量的,谦虚的"
temper,"v.缓和,调整 n.脾气"
algae,"n.藻类"
ballon,"v.激增 n.气球"
compelling,"adj.有吸引力的,令人信服的,强大的"
dispute,"v.争论,质疑 n.争论,纠纷"
striking,"adj.引人注目的,显著地"
thrust,"v.猛推,刺,插 n.插入,挤,主旨"
accessible,"adj.容易理解的,容易到达的,易获得的"
acquaintance,"n.了解,熟悉,认识的人,泛泛之交"
adequate,"adj.足够的,充分的,适当的,合格的"
affinity,"n.喜爱,亲和力,类同"
appreciate,"v.意识到,欣赏,感激,升值"
ascetic,"adj.清苦的,苦行的"
assume,"v.假设,承担,呈现"
block,"v.阻止"
climatic,"adj.气候的"
cluster,"v.聚集 n.簇,团,群"
compound,"v.加剧,恶化,混合"
compromise,"v.妥协,让步 n.妥协"
conviction,"n.信念,确,定罪"
crucial,"adj.至关重要的"
delicate,"adj.精美的,易碎的,敏锐的,微妙的"
discharge,"v.释放,排出,履行,解雇"
extravagant,"adj.过分的,挥霍的,过于昂贵的"
foreground,"n.突出的地位 v.强调,突出"
foster,"v.培育,抚养"
giant,"n.巨人 adj.巨大的"
gravity,"n.严肃 庄重,地心引力"
ignorance,"n.无知,愚昧"
involved,"adj.参与的,涉及的,复杂难懂的"
narrative,"n.记叙文,故事"
norm,"n.标准,规范"
perennial,"adj.长期的,常年的"
reflect,"v.反射,反映,思考"
shrink,"v.缩小,收缩,畏缩"
singular,"adj.非凡的,突出的,奇特的,异常的"
stringent,"adj.严格的,严厉的"
substantial,"adj.重大的,大量的"
subtle,"adj.微妙的,不明显的"
superior,"adj.优等的,更高级的"
suppress,"v.镇压,阻止,抑制"
tortoise,"n.龟,迟缓的人"
triumph,"n.成功,成就"
universal,"adj.普遍的"
utter,"v.表达,adj.完全的"
vehicle,"n.车辆,工具,手段,媒介"
vindicate,"v.证实,证明...无罪"
acclaim,"v.称赞,n.称誉,高度评价"
accommodate,"v.使适应,调解,提供所需,容纳"
accumulate,"v.积累"
adjust,"v.适应,习惯,调整"
adolescent,"n.青少年,adj.青春期的"
advent,"n.到来,出现"
alloy,"v.混合,n.混合物,合金"
alumina,"n.氧化铝"
ambiguous,"adj.有歧义的,模棱两可的"
ambivalent,"adj.犹豫不决的,矛盾的"
amendment,"n.修正,修正案"
analytical,"adj.分析的,解析的"
anomalous,"adj.异常的"
anthology,"n.选集"
anticipate,"v.预料,加速,使提前发生"
antithesis,"n.对立面"
appropriate,"v.私自挪用,盗用,adj.适合的"
archipelago,"n.群岛,列岛"
archive,"n.档案馆,v.把...存档"
aria,"n.咏叹调"
avant-garde,"n.先锋派"
badger,"v.纠缠,烦扰,n.獾"
betray,"v.背叛,流露,展现"
bias,"n.倾向,偏爱,偏见"
brood,"v.沉思,孵蛋,n.同窝幼鸟"
canon,"n.标准,准则,正典,真作"
champion,"v.捍卫,拥护,支持,n.捍卫者"
circumscribe,"v.限制"
clutch,"n.一窝蛋,一窝小年,离合器"
collapse,"v.坍塌,崩溃"
confound,"v.使困惑,证明有误"
confront,"v.面对,对抗"
considerable,"adj.重大的,相当多的"
contemporary,"adj.当代的,现代的,同时代的"
controversial,"adj.有争议的,引发争议的"
cosmic,"adj.宇宙的"
countenance,"n.面容,v.支持,赞同,容忍"
decisive,"adj.坚决的,果断的,决定性的,关键的"
designate,"v.指派,任命,命名"
despair,"n.绝望 v.绝望"
dialect,"n.方言"
dilemma,"n.窘境,困境"
disdain,"v.鄙视 n.鄙视"
dismiss,"v.解雇,驱逐,不考虑"
disposition,"n.倾向,性情,部署,排列"
dissent,"v.反对,不同意 n.不同意见,异议"
dwarf,"v.矮化,使相形见绌 adj.矮小的"
earthly,"adj.地球的,土地的,尘世的"
elaborate,"adj.精心策划的 v.精心制作,详尽阐述"
elusive,"adj.难抓住的,难理解的"
embrace,"v.拥抱,包含,包括,欣然接受"
employ,"v.雇用,使用,采用"
encompass,"v.包含,包括,包围,围绕"
enrich,"v.充实,丰富,使富裕"
enterprise,"n.企业,公司,开拓精神,困难的项目"
exalt,"v.提拔,提升,高度赞扬"
exclusive,"adj.独有的,占有的,排外的"
expertise,"n.专门知识,专门技能"
exploit,"v.开发,利用,剥削 n.英勇行为"
fierce,"adj.凶狠的,激烈的"
flair,"n.天赋,才华"
fluid,"adj.流动的,流畅的"
foliage,"n.叶子"
forbear,"v.忍住,克制"
forbidding,"adj.令人生畏的,冷峻的"
forge,"v.锻造,伪造"
forgo,"v.放弃,抛弃"
founder,"n.创始人 v.失败"
gaze,"v.凝视 n.凝视,注视"
graze,"v.吃草"
grid,"n.网格"
grip,"n.紧握,控制 v.紧握,吸引"
halt,"v.停止,中止"
hamper,"v.阻止,妨碍"
heir,"n.继承人"
immune,"adj.免疫的"
import,"n.重要性,进口,输入的产品 v.进口"
induce,"v.引起,劝说,诱导"
inimitable,"adj.无法效仿的"
initiate,"v.开始,发起,接纳,使加入"
jettison,"v.抛弃,放弃"
ludicrous,"adj.荒谬的,荒唐可笑的"
mandate,"v.命令,授权 n.授权"
manifest,"adj.明显的 v.显示"
marked,"adj.显著的,明显的"
mediocre,"adj.普通的,平庸的"
moderate,"adj.适当的,中等的 v.减轻,缓和"
obscure,"adj.晦涩难懂的,鲜为人知的 v.使模糊"
opaque,"adj.不透明的,难以理解的"
overwhelm,"v.淹没,彻底击败"
pellucid,"adj.清澈透明的,容易理解的"
plausible,"adj.看起来合理的,似是而非的"
pollinate,"v.授粉"
regular,"adj.定期的,有规律的,频繁的"
render,"v.使成为,致使,表达,表现,翻译"
repertoire,"n.全部剧目,全部才能"
resign,"v.辞职,放弃,听任,屈从于"
resolve,"v.解决 n.坚决,决心"
resume,"v.重新开始,继续 n.简历"
sacrifice,"v.牺牲,献出 n.牺牲"
salient,"adj.显著的,突出的"
sanction,"n.批准,制裁"
scant,"adj.缺乏的,不足的"
scarce,"adj.缺乏的,不足的"
sentimental,"adj.情感的,多愁善感的"
shed,"v.脱落,使掉下,投射 n.小屋"
shield,"v.保护,庇护 n.盾牌,保护"
simplicity,"n.简洁,朴素"
snap,"v.猛咬"
sound,"adj.健康的,可靠的,合理的"
spin,"v.旋转 n.旋转"
static,"adj.静止的,不变的"
steep,"adj.陡峭的,急剧的 v.浸泡,浸透"
stem,"v.阻止,抑制,来源于,由于 n.茎"
stereotype,"n.思维定势 v.刻板得对待"
stimulate,"v.激励,促使"
strip,"v.除去,剥去 n.连环画"
substitute,"v.替代,替换 n.替代品"
subvert,"v.颠覆,破坏"
successive,"adj.连续的,相继的"
succumb,"v.屈服,死亡"
surgeon,"n.外科医生"
sustain,"v.维持,支持,经受"
symptom,"n.症状"
synthesis,"n.综合,合成"
tangle,"v.纠缠,缠绕"
tendentious,"adj.有偏见的,有倾向性的"
terrestrial,"adj.地球的,陆地的"
testimony,"n.证词,证言"
thrill,"v.使激动,使兴奋 n.刺激,激动"
tilt,"v.倾斜 n.倾斜"
torpor,"n.懒散,迟钝"
tortuous,"adj.弯曲的,曲折的"
trace,"n.微量,踪迹 v.跟踪,追踪"
trait,"n.特征,特性"
tranquil,"adj.平静的"
transparent,"adj.透明的,易懂的"
trigger,"v.引发,促使"
trival,"adj.琐碎的,微不足道的,不重要的"
unwarranted,"adj.不合理的,无正当理由的"
unwitting,"adj.无意的"
uphold,"v.支持,维护"
urbane,"adj.温文尔雅的,彬彬有礼的"
utilitarian,"adj.实用主义的"
veil,"v.掩盖,掩饰 n.面纱,掩饰"
veto,"v.否决,否定 n.否定权,否决"
viable,"adj.切实可行的,能办到的"
visible,"adj.可见的"
visionary,"adj.有远见的,空想的"
vital,"adj.至关重要的,生机勃勃的"
volcanic,"adj.火山的"
vulnerable,"adj.脆弱的,易受伤害的"
warrant,"v.批准,认可"
watershed,"n.分水岭,转折点,重大事件"
wearisome,"adj.令人疲倦的,使人厌倦的"
wilt,"n.枯萎 v.枯萎,发蔫"
yield,"v.屈服,投降,产出 n.产出,产量"
abalone,"n.鲍鱼"
abandon,"v.放弃,放纵"
abiotic,"adj.非生物的"
abject,"adj.凄惨的,卑躬屈膝的"
abolish,"v.废除"
abound,"v.充满,大量存在"
absorbing,"adj.吸引人的"
abstract,"adj.抽象的 v.使分心,提取 n.摘要"
abuse,"v.滥用 n.滥用,辱骂,虐待"
accede,"v.同意,就任"
accelerate,"v.加速,加快"
accomplish,"v.完成,实现"
accustom,"v.使习惯,使适应"
acerbic,"adj.尖刻的"
acrimony,"n.尖刻,讥讽"
acumen,"n.精明"
acute,"adj.严重的,急性的,敏锐的,灵敏的"
adamant,"adj.坚决的"
adduce,"v.印证,举出"
adept,"adj.熟练的"
adhere,"v.粘附,附着,遵守"
admonish,"v.警告,责备,忠告,劝告"
adrenaline,"n.肾上腺素"
adversary,"n.对手"
aesthetic,"adj.美学的"
affirm,"v.证实,确认,坚称,断言"
afloat,"adj.漂浮的"
aggrandize,"v.增加,扩张,夸耀"
aggregate,"v.聚集 n.总数,合计 adj.总数的,总计的"
